id,exp_date,exp_desc,amount,exp_month,exp_year,recurring,recurring_period,category_id,recurring_start,user_id,created_on,updated_on
212,4/4/2019 0:00,Lunch,4,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
213,4/4/2019 0:00,Dinner,4,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
214,4/4/2019 0:00,Curry Puff,1.5,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
215,4/4/2019 0:00,Cab to Airport,9,4,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
216,5/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
217,6/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
218,7/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
219,8/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
220,9/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
221,10/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
222,11/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
223,12/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
224,13/4/2019 0:00,Bus/MRT,3,4,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
225,13/4/2019 0:00,South Africa Trip,284.14,4,2019,FALSE,,8,,1,28/3/2022 0:00,28/6/2022 0:00
226,13/4/2019 0:00,Cab Home,31,4,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
227,13/4/2019 0:00,Hair Cut,15,4,2019,FALSE,,2,,1,28/3/2022 0:00,28/6/2022 0:00
